,sentiment
22248,"[{'confidence': 0.53566353882828, 'value': 'neutral'}]"
22260,
22267,"[{'confidence': 0.54581545611299, 'value': 'neutral'}]"
22280,"[{'confidence': 0.60189203268561, 'value': 'negative'}]"
22282,"[{'confidence': 0.73263322368636, 'value': 'neutral'}]"
22283,"[{'confidence': 0.63688421587307, 'value': 'negative'}]"
22289,
22305,"[{'confidence': 0.56321554968685, 'value': 'neutral'}]"
22308,"[{'confidence': 0.54660541123144, 'value': 'negative'}]"
22316,"[{'confidence': 0.60062788754851, 'value': 'neutral'}]"
22325,"[{'confidence': 0.61460804443521, 'value': 'neutral'}]"
22328,"[{'confidence': 0.62093651087597, 'value': 'negative'}]"
22334,"[{'confidence': 0.91958451104423, 'value': 'positive'}]"
22345,
22380,"[{'confidence': 0.53105879678705, 'value': 'negative'}]"
22395,
22396,
22397,"[{'confidence': 0.50458650388225, 'value': 'neutral'}]"
22416,"[{'confidence': 0.68840676607252, 'value': 'negative'}]"
22420,
22421,"[{'confidence': 0.5280259931905, 'value': 'neutral'}]"
22431,"[{'confidence': 0.57323884837802, 'value': 'negative'}]"
22433,"[{'confidence': 0.70648473499097, 'value': 'neutral'}]"
22442,
22443,"[{'confidence': 0.58811233851251, 'value': 'negative'}]"
22449,"[{'confidence': 0.71804820775281, 'value': 'negative'}]"
22450,"[{'confidence': 0.56738573601439, 'value': 'neutral'}]"
22456,"[{'confidence': 0.60171146220396, 'value': 'positive'}]"
22457,"[{'confidence': 0.51297302052286, 'value': 'negative'}]"
22464,"[{'confidence': 0.51276398734469, 'value': 'negative'}]"
22466,"[{'confidence': 0.6199539333206, 'value': 'neutral'}]"
22513,
22520,"[{'confidence': 0.62624143291061, 'value': 'negative'}]"
22525,"[{'confidence': 0.52002388459073, 'value': 'neutral'}]"
22547,
22550,
22554,
22555,"[{'confidence': 0.75840096850541, 'value': 'negative'}]"
22556,"[{'confidence': 0.52086340190178, 'value': 'negative'}]"
22571,
22573,
22584,"[{'confidence': 0.69595861362438, 'value': 'negative'}]"
22592,
22595,"[{'confidence': 0.6552975158298, 'value': 'negative'}]"
22600,
22602,"[{'confidence': 0.77179675249517, 'value': 'neutral'}]"
22604,
22611,"[{'confidence': 0.68139546844618, 'value': 'positive'}]"
22612,
22615,"[{'confidence': 0.59285215937687, 'value': 'negative'}]"
22618,
22622,"[{'confidence': 0.60276598534224, 'value': 'negative'}]"
22624,
22631,
22636,
22640,"[{'confidence': 0.57382454255305, 'value': 'neutral'}]"
22641,"[{'confidence': 0.54008536399248, 'value': 'neutral'}]"
22643,
22653,"[{'confidence': 0.65273862885247, 'value': 'negative'}]"
22656,"[{'confidence': 0.76110612350568, 'value': 'negative'}]"
22688,"[{'confidence': 0.76489603613216, 'value': 'positive'}]"
22689,"[{'confidence': 0.6648582235591, 'value': 'negative'}]"
22699,"[{'confidence': 0.51239137503973, 'value': 'neutral'}]"
22790,
22792,"[{'confidence': 0.6164797647414, 'value': 'negative'}]"
22803,"[{'confidence': 0.54616569004608, 'value': 'negative'}]"
22818,"[{'confidence': 0.76759219414196, 'value': 'negative'}]"
22819,"[{'confidence': 0.7180517814789, 'value': 'negative'}]"
22831,"[{'confidence': 0.60347629802231, 'value': 'positive'}]"
22832,"[{'confidence': 0.84392034610802, 'value': 'positive'}]"
22837,"[{'confidence': 0.69973999045692, 'value': 'neutral'}]"
22841,"[{'confidence': 0.58042840203576, 'value': 'neutral'}]"
22851,"[{'confidence': 0.740750611783, 'value': 'negative'}]"
22853,"[{'confidence': 0.66739136396143, 'value': 'negative'}]"
22859,"[{'confidence': 0.51603192654505, 'value': 'negative'}]"
22865,"[{'confidence': 0.68307179209295, 'value': 'neutral'}]"
22868,"[{'confidence': 0.62258916144633, 'value': 'neutral'}]"
22879,
22881,
22896,"[{'confidence': 0.61116838730041, 'value': 'negative'}]"
22917,"[{'confidence': 0.66312038542723, 'value': 'negative'}]"
22923,
22927,"[{'confidence': 0.65305501334985, 'value': 'neutral'}]"
22931,"[{'confidence': 0.82477712735597, 'value': 'negative'}]"
22940,"[{'confidence': 0.56195652991655, 'value': 'negative'}]"
22942,"[{'confidence': 0.74785619699829, 'value': 'negative'}]"
22944,"[{'confidence': 0.69321357394003, 'value': 'negative'}]"
22955,"[{'confidence': 0.64173280722485, 'value': 'negative'}]"
22960,"[{'confidence': 0.76225364506789, 'value': 'negative'}]"
22962,"[{'confidence': 0.65740585577346, 'value': 'negative'}]"
22963,"[{'confidence': 0.60361641739925, 'value': 'negative'}]"
22966,"[{'confidence': 0.65397101810068, 'value': 'negative'}]"
22974,"[{'confidence': 0.58483133509505, 'value': 'negative'}]"
22977,"[{'confidence': 0.5437988503547, 'value': 'negative'}]"
22982,"[{'confidence': 0.53996604292785, 'value': 'negative'}]"
22984,"[{'confidence': 0.56609792464562, 'value': 'negative'}]"
22986,"[{'confidence': 0.64684950453596, 'value': 'negative'}]"
22987,
22991,"[{'confidence': 0.6338300629129, 'value': 'negative'}]"
23001,"[{'confidence': 0.63492691036101, 'value': 'negative'}]"
23004,"[{'confidence': 0.53382187821543, 'value': 'negative'}]"
23011,"[{'confidence': 0.82525205661177, 'value': 'negative'}]"
23023,"[{'confidence': 0.62372488426313, 'value': 'neutral'}]"
23034,"[{'confidence': 0.75327927647661, 'value': 'negative'}]"
23039,"[{'confidence': 0.50337809801162, 'value': 'neutral'}]"
23042,
23043,"[{'confidence': 0.60113836477442, 'value': 'negative'}]"
23047,"[{'confidence': 0.60370115234193, 'value': 'negative'}]"
23056,
23067,
23068,"[{'confidence': 0.67688160156367, 'value': 'negative'}]"
23074,"[{'confidence': 0.65368311888126, 'value': 'neutral'}]"
23075,"[{'confidence': 0.51933564388418, 'value': 'neutral'}]"
23086,"[{'confidence': 0.74056892578318, 'value': 'negative'}]"
23093,"[{'confidence': 0.60368855828583, 'value': 'negative'}]"
23098,"[{'confidence': 0.65181535616566, 'value': 'neutral'}]"
23109,"[{'confidence': 0.84455459792049, 'value': 'positive'}]"
23112,
23113,"[{'confidence': 0.60633265114084, 'value': 'negative'}]"
23120,"[{'confidence': 0.5857005188235, 'value': 'neutral'}]"
23154,"[{'confidence': 0.65391009565147, 'value': 'negative'}]"
23160,"[{'confidence': 0.59486399968367, 'value': 'negative'}]"
23176,"[{'confidence': 0.5036911936561, 'value': 'neutral'}]"
23206,"[{'confidence': 0.67040365139248, 'value': 'negative'}]"
23215,
23218,"[{'confidence': 0.53161723761507, 'value': 'negative'}]"
23229,"[{'confidence': 0.54275799869862, 'value': 'negative'}]"
23235,"[{'confidence': 0.65127306340266, 'value': 'negative'}]"
23247,
23308,"[{'confidence': 0.58343301577754, 'value': 'neutral'}]"
23321,"[{'confidence': 0.51947279182766, 'value': 'neutral'}]"
23327,"[{'confidence': 0.69449984087522, 'value': 'negative'}]"
23331,"[{'confidence': 0.7969266144786, 'value': 'neutral'}]"
23333,"[{'confidence': 0.69386737939658, 'value': 'negative'}]"
23334,"[{'confidence': 0.59085046879528, 'value': 'neutral'}]"
23338,"[{'confidence': 0.50023483687454, 'value': 'positive'}]"
23345,"[{'confidence': 0.83410685822533, 'value': 'negative'}]"
23360,"[{'confidence': 0.84118264383232, 'value': 'negative'}]"
23369,"[{'confidence': 0.51989656927206, 'value': 'negative'}]"
23375,
23391,"[{'confidence': 0.82581048979057, 'value': 'negative'}]"
23399,"[{'confidence': 0.52554498529996, 'value': 'neutral'}]"
23421,"[{'confidence': 0.54857503742271, 'value': 'negative'}]"
23431,"[{'confidence': 0.57301307853376, 'value': 'neutral'}]"
23453,"[{'confidence': 0.51077063350574, 'value': 'negative'}]"
23465,"[{'confidence': 0.52554498529996, 'value': 'neutral'}]"
23489,
23496,"[{'confidence': 0.58346507950145, 'value': 'negative'}]"
23532,
23540,"[{'confidence': 0.58940297698706, 'value': 'negative'}]"
23558,
23594,"[{'confidence': 0.78428066383752, 'value': 'negative'}]"
23601,
23604,"[{'confidence': 0.72857214233771, 'value': 'neutral'}]"
23607,"[{'confidence': 0.68846958929953, 'value': 'negative'}]"
23612,"[{'confidence': 0.54238544427803, 'value': 'positive'}]"
23619,"[{'confidence': 0.62685185703433, 'value': 'negative'}]"
23621,"[{'confidence': 0.66157955497426, 'value': 'negative'}]"
23635,"[{'confidence': 0.63554078131201, 'value': 'negative'}]"
23638,"[{'confidence': 0.67859489053747, 'value': 'negative'}]"
23641,"[{'confidence': 0.53971367901047, 'value': 'neutral'}]"
23656,"[{'confidence': 0.50435776989685, 'value': 'negative'}]"
23662,"[{'confidence': 0.50885617842224, 'value': 'negative'}]"
23665,"[{'confidence': 0.72233658359226, 'value': 'neutral'}]"
23685,"[{'confidence': 0.62641383225201, 'value': 'negative'}]"
23689,"[{'confidence': 0.50815188360481, 'value': 'neutral'}]"
23697,"[{'confidence': 0.56604576181545, 'value': 'neutral'}]"
23701,
23709,"[{'confidence': 0.65019457844329, 'value': 'neutral'}]"
23716,"[{'confidence': 0.69324636114257, 'value': 'negative'}]"
23737,"[{'confidence': 0.65370904897263, 'value': 'positive'}]"
23743,"[{'confidence': 0.5128320559201, 'value': 'neutral'}]"
23765,"[{'confidence': 0.54214590925236, 'value': 'negative'}]"
23778,"[{'confidence': 0.62154311627566, 'value': 'neutral'}]"
23779,"[{'confidence': 0.80463731724819, 'value': 'neutral'}]"
23780,
23781,"[{'confidence': 0.61548441063952, 'value': 'neutral'}]"
23782,"[{'confidence': 0.64749419923776, 'value': 'negative'}]"
23795,"[{'confidence': 0.60344403380346, 'value': 'negative'}]"
23796,"[{'confidence': 0.54049080829774, 'value': 'negative'}]"
23802,"[{'confidence': 0.90054148646913, 'value': 'positive'}]"
23821,"[{'confidence': 0.72108643495126, 'value': 'negative'}]"
23826,"[{'confidence': 0.67648405502763, 'value': 'negative'}]"
23833,"[{'confidence': 0.71780331079968, 'value': 'negative'}]"
23839,"[{'confidence': 0.86294746296443, 'value': 'positive'}]"
23840,"[{'confidence': 0.52097809800169, 'value': 'negative'}]"
23842,
23854,"[{'confidence': 0.65233720089165, 'value': 'negative'}]"
23883,
23887,
23923,"[{'confidence': 0.58829303575248, 'value': 'neutral'}]"
23930,"[{'confidence': 0.52554498529996, 'value': 'neutral'}]"
23942,
23945,
23946,"[{'confidence': 0.75348900618441, 'value': 'negative'}]"
23974,"[{'confidence': 0.51945294492942, 'value': 'negative'}]"
23975,"[{'confidence': 0.70981436490442, 'value': 'negative'}]"
23979,"[{'confidence': 0.54662828302535, 'value': 'negative'}]"
23991,"[{'confidence': 0.54500000467214, 'value': 'negative'}]"
24035,"[{'confidence': 0.5870880356294, 'value': 'neutral'}]"
24167,"[{'confidence': 0.51804284904254, 'value': 'negative'}]"
24270,"[{'confidence': 0.56250803118464, 'value': 'negative'}]"
24288,"[{'confidence': 0.66789747303864, 'value': 'negative'}]"
24300,
24307,"[{'confidence': 0.60247177376719, 'value': 'neutral'}]"
24308,
24324,"[{'confidence': 0.52520262149006, 'value': 'neutral'}]"
24326,"[{'confidence': 0.65230899237324, 'value': 'neutral'}]"
24332,"[{'confidence': 0.60981874757507, 'value': 'negative'}]"
24337,"[{'confidence': 0.63199973875437, 'value': 'negative'}]"
24341,
24351,"[{'confidence': 0.58969664118336, 'value': 'neutral'}]"
24357,"[{'confidence': 0.67174684413877, 'value': 'negative'}]"
24362,"[{'confidence': 0.78542207975886, 'value': 'negative'}]"
24465,
24466,"[{'confidence': 0.69269829349345, 'value': 'positive'}]"
24522,"[{'confidence': 0.73267953542785, 'value': 'negative'}]"
24537,
24560,"[{'confidence': 0.55796348295537, 'value': 'negative'}]"
24601,"[{'confidence': 0.52554498529996, 'value': 'neutral'}]"
24611,
24697,"[{'confidence': 0.75208895915269, 'value': 'negative'}]"
24711,"[{'confidence': 0.66609417949726, 'value': 'negative'}]"
24746,"[{'confidence': 0.57954223946744, 'value': 'neutral'}]"
24750,"[{'confidence': 0.52455479874815, 'value': 'neutral'}]"
24802,"[{'confidence': 0.76569943552419, 'value': 'negative'}]"
24806,"[{'confidence': 0.61303217200861, 'value': 'neutral'}]"
24814,"[{'confidence': 0.5396344193255, 'value': 'negative'}]"
24818,"[{'confidence': 0.5370169830217, 'value': 'negative'}]"
24819,"[{'confidence': 0.80101650196564, 'value': 'positive'}]"
24863,"[{'confidence': 0.61095184017672, 'value': 'negative'}]"
24872,"[{'confidence': 0.51733397969943, 'value': 'negative'}]"
24884,"[{'confidence': 0.61561619988799, 'value': 'negative'}]"
24888,
24894,"[{'confidence': 0.90165191782348, 'value': 'positive'}]"
24911,
24912,"[{'confidence': 0.79690092898215, 'value': 'positive'}]"
24915,"[{'confidence': 0.52577204604733, 'value': 'negative'}]"
24919,"[{'confidence': 0.86169308782793, 'value': 'negative'}]"
24920,"[{'confidence': 0.60589814820544, 'value': 'negative'}]"
24921,"[{'confidence': 0.68142432554212, 'value': 'negative'}]"
24935,"[{'confidence': 0.50147395502197, 'value': 'neutral'}]"
24939,"[{'confidence': 0.81891113588151, 'value': 'negative'}]"
24942,
24950,"[{'confidence': 0.79283452423728, 'value': 'negative'}]"
24951,"[{'confidence': 0.61453694293608, 'value': 'negative'}]"
24954,"[{'confidence': 0.51841258771228, 'value': 'neutral'}]"
24958,
24966,"[{'confidence': 0.59921308529738, 'value': 'negative'}]"
24969,"[{'confidence': 0.87584811075756, 'value': 'positive'}]"
24981,"[{'confidence': 0.62414847292625, 'value': 'negative'}]"
24984,"[{'confidence': 0.51010449027724, 'value': 'neutral'}]"
24994,"[{'confidence': 0.66845560052785, 'value': 'neutral'}]"
24995,"[{'confidence': 0.66948051142769, 'value': 'neutral'}]"
25001,"[{'confidence': 0.69628750128442, 'value': 'neutral'}]"
25003,"[{'confidence': 0.56518445490993, 'value': 'negative'}]"
25011,
25014,"[{'confidence': 0.52614742665969, 'value': 'neutral'}]"
25016,"[{'confidence': 0.73411763689574, 'value': 'negative'}]"
25093,"[{'confidence': 0.51449024902306, 'value': 'neutral'}]"
25107,"[{'confidence': 0.51362395910562, 'value': 'neutral'}]"
25138,
25155,"[{'confidence': 0.66114222750228, 'value': 'neutral'}]"
25162,"[{'confidence': 0.71583455276531, 'value': 'neutral'}]"
25167,"[{'confidence': 0.56355256163293, 'value': 'neutral'}]"
25168,"[{'confidence': 0.85948448921522, 'value': 'neutral'}]"
25176,"[{'confidence': 0.63701849899506, 'value': 'negative'}]"
25182,"[{'confidence': 0.65578413441188, 'value': 'neutral'}]"
25184,"[{'confidence': 0.5776292806741, 'value': 'neutral'}]"
25185,"[{'confidence': 0.57895416014964, 'value': 'neutral'}]"
25187,
25188,"[{'confidence': 0.57755719003444, 'value': 'negative'}]"
25194,"[{'confidence': 0.59904770786831, 'value': 'neutral'}]"
25196,"[{'confidence': 0.74708521214623, 'value': 'neutral'}]"
25201,
25207,
25210,"[{'confidence': 0.66939336644055, 'value': 'negative'}]"
25219,"[{'confidence': 0.66222310236751, 'value': 'neutral'}]"
25221,"[{'confidence': 0.50050764111153, 'value': 'negative'}]"
25224,"[{'confidence': 0.56450380250799, 'value': 'neutral'}]"
25228,"[{'confidence': 0.57272249964507, 'value': 'neutral'}]"
25229,"[{'confidence': 0.5023023572828, 'value': 'positive'}]"
25250,"[{'confidence': 0.66984070331979, 'value': 'neutral'}]"
25251,"[{'confidence': 0.66048126676815, 'value': 'negative'}]"
25258,"[{'confidence': 0.6533051745591, 'value': 'negative'}]"
25259,"[{'confidence': 0.56148541627355, 'value': 'negative'}]"
25262,
25265,"[{'confidence': 0.61015255016201, 'value': 'neutral'}]"
25285,"[{'confidence': 0.55747740780225, 'value': 'negative'}]"
25294,"[{'confidence': 0.79319578886764, 'value': 'negative'}]"
25298,"[{'confidence': 0.81386392790883, 'value': 'neutral'}]"
25299,"[{'confidence': 0.55125879663315, 'value': 'neutral'}]"
25320,"[{'confidence': 0.52482469289546, 'value': 'negative'}]"
25331,
25333,"[{'confidence': 0.71532528925602, 'value': 'neutral'}]"
25364,"[{'confidence': 0.60836880642998, 'value': 'negative'}]"
25367,"[{'confidence': 0.77132343819485, 'value': 'neutral'}]"
25371,"[{'confidence': 0.6902926011656, 'value': 'neutral'}]"
25388,
25405,"[{'confidence': 0.50602942967057, 'value': 'neutral'}]"
25418,"[{'confidence': 0.86916589557425, 'value': 'negative'}]"
25421,"[{'confidence': 0.64761423665112, 'value': 'neutral'}]"
25435,"[{'confidence': 0.64827870434635, 'value': 'neutral'}]"
25449,"[{'confidence': 0.58892952900884, 'value': 'negative'}]"
25451,"[{'confidence': 0.55614459059109, 'value': 'negative'}]"
25453,"[{'confidence': 0.55709378687792, 'value': 'neutral'}]"
25454,
25456,"[{'confidence': 0.50599604176532, 'value': 'negative'}]"
25457,
25458,"[{'confidence': 0.50923222970383, 'value': 'neutral'}]"
25463,
25465,"[{'confidence': 0.50905208850371, 'value': 'neutral'}]"
25471,
25476,"[{'confidence': 0.77599305106835, 'value': 'positive'}]"
25480,"[{'confidence': 0.54486482081981, 'value': 'neutral'}]"
25482,"[{'confidence': 0.502842967117, 'value': 'neutral'}]"
25484,
25489,"[{'confidence': 0.51660138469753, 'value': 'negative'}]"
25497,"[{'confidence': 0.88318020300496, 'value': 'positive'}]"
25517,"[{'confidence': 0.59340632165079, 'value': 'neutral'}]"
25537,
25562,"[{'confidence': 0.76105111987287, 'value': 'negative'}]"
25563,"[{'confidence': 0.55659682455658, 'value': 'neutral'}]"
25566,"[{'confidence': 0.77130079610586, 'value': 'neutral'}]"
25593,"[{'confidence': 0.6333247407686, 'value': 'neutral'}]"
25595,"[{'confidence': 0.54146134086414, 'value': 'negative'}]"
25597,"[{'confidence': 0.54296142690592, 'value': 'neutral'}]"
25604,"[{'confidence': 0.55647780267156, 'value': 'neutral'}]"
25608,"[{'confidence': 0.69972264024654, 'value': 'negative'}]"
25610,"[{'confidence': 0.64896744907169, 'value': 'neutral'}]"
25616,"[{'confidence': 0.63444639026476, 'value': 'negative'}]"
25617,"[{'confidence': 0.54437964358039, 'value': 'neutral'}]"
25618,"[{'confidence': 0.73714006497949, 'value': 'neutral'}]"
25622,"[{'confidence': 0.57090497012364, 'value': 'neutral'}]"
25634,"[{'confidence': 0.62813412951, 'value': 'neutral'}]"
25635,"[{'confidence': 0.50198255500079, 'value': 'neutral'}]"
25653,"[{'confidence': 0.58596230111249, 'value': 'negative'}]"
25667,"[{'confidence': 0.61407476403406, 'value': 'negative'}]"
25670,"[{'confidence': 0.50395792263073, 'value': 'neutral'}]"
25671,"[{'confidence': 0.508312103214, 'value': 'neutral'}]"
25677,"[{'confidence': 0.65041590496697, 'value': 'negative'}]"
25679,"[{'confidence': 0.57251829485921, 'value': 'negative'}]"
25681,"[{'confidence': 0.62451183903157, 'value': 'neutral'}]"
25709,"[{'confidence': 0.51112521953895, 'value': 'neutral'}]"
25716,"[{'confidence': 0.65799135558919, 'value': 'negative'}]"
25722,"[{'confidence': 0.93924862464441, 'value': 'positive'}]"
25734,
25743,"[{'confidence': 0.74938815927151, 'value': 'negative'}]"
25750,
25754,"[{'confidence': 0.58746440282244, 'value': 'negative'}]"
25758,"[{'confidence': 0.54061346762217, 'value': 'neutral'}]"
25771,
25773,"[{'confidence': 0.57285278095193, 'value': 'negative'}]"
25775,"[{'confidence': 0.70465172053382, 'value': 'negative'}]"
25786,"[{'confidence': 0.61573506188287, 'value': 'neutral'}]"
25807,"[{'confidence': 0.50608580503618, 'value': 'neutral'}]"
25809,
25813,"[{'confidence': 0.78543078736068, 'value': 'negative'}]"
25819,"[{'confidence': 0.56411652329786, 'value': 'negative'}]"
25826,
25828,"[{'confidence': 0.9538159355101, 'value': 'positive'}]"
25839,
25846,"[{'confidence': 0.62351643104804, 'value': 'neutral'}]"
25848,"[{'confidence': 0.54120363288142, 'value': 'negative'}]"
25853,"[{'confidence': 0.6054884972913, 'value': 'negative'}]"
25855,"[{'confidence': 0.71065432029787, 'value': 'neutral'}]"
25858,
25860,"[{'confidence': 0.58161370117094, 'value': 'negative'}]"
25862,"[{'confidence': 0.73414844234402, 'value': 'negative'}]"
25863,"[{'confidence': 0.53442007830611, 'value': 'negative'}]"
25864,"[{'confidence': 0.65178489751869, 'value': 'neutral'}]"
25874,"[{'confidence': 0.50554812709704, 'value': 'neutral'}]"
25877,"[{'confidence': 0.5423703793169, 'value': 'negative'}]"
25879,
25881,"[{'confidence': 0.50390226485874, 'value': 'neutral'}]"
25886,"[{'confidence': 0.59655822216363, 'value': 'neutral'}]"
25888,"[{'confidence': 0.62740318907926, 'value': 'negative'}]"
25889,"[{'confidence': 0.6475148857709, 'value': 'negative'}]"
25895,"[{'confidence': 0.73918420572919, 'value': 'neutral'}]"
25899,"[{'confidence': 0.69127876031319, 'value': 'neutral'}]"
25907,"[{'confidence': 0.78628767055159, 'value': 'negative'}]"
25920,"[{'confidence': 0.52106011467579, 'value': 'negative'}]"
25932,"[{'confidence': 0.59753101813441, 'value': 'neutral'}]"
25933,"[{'confidence': 0.83902567768863, 'value': 'negative'}]"
25935,"[{'confidence': 0.66257595378472, 'value': 'neutral'}]"
25946,"[{'confidence': 0.76710085995486, 'value': 'negative'}]"
25954,
25958,"[{'confidence': 0.54997641327641, 'value': 'negative'}]"
25960,"[{'confidence': 0.67295025889265, 'value': 'negative'}]"
25963,
25965,"[{'confidence': 0.85371893882097, 'value': 'negative'}]"
25969,"[{'confidence': 0.50859464774926, 'value': 'negative'}]"
25975,"[{'confidence': 0.79667532881201, 'value': 'negative'}]"
25997,
25998,"[{'confidence': 0.58631820107554, 'value': 'neutral'}]"
26025,"[{'confidence': 0.7005313626064, 'value': 'negative'}]"
26029,"[{'confidence': 0.59674709868838, 'value': 'negative'}]"
26032,"[{'confidence': 0.62329942828235, 'value': 'negative'}]"
26037,"[{'confidence': 0.54605918370511, 'value': 'neutral'}]"
26038,
26039,"[{'confidence': 0.61290378542353, 'value': 'negative'}]"
26049,"[{'confidence': 0.52765936797035, 'value': 'neutral'}]"
26051,"[{'confidence': 0.83794778371182, 'value': 'negative'}]"
26052,"[{'confidence': 0.57458043878622, 'value': 'negative'}]"
26058,"[{'confidence': 0.52152693309068, 'value': 'negative'}]"
26071,"[{'confidence': 0.69551968199438, 'value': 'neutral'}]"
26073,"[{'confidence': 0.5414439456673, 'value': 'neutral'}]"
26081,"[{'confidence': 0.52501489056467, 'value': 'negative'}]"
26088,"[{'confidence': 0.86357628737188, 'value': 'negative'}]"
26089,"[{'confidence': 0.51070250370167, 'value': 'negative'}]"
26099,"[{'confidence': 0.79770028650065, 'value': 'negative'}]"
26100,"[{'confidence': 0.56751267226259, 'value': 'negative'}]"
26113,"[{'confidence': 0.63359296713173, 'value': 'negative'}]"
26125,"[{'confidence': 0.60586784902853, 'value': 'neutral'}]"
26131,
26135,"[{'confidence': 0.5096786693002, 'value': 'neutral'}]"
26138,"[{'confidence': 0.84693991871755, 'value': 'negative'}]"
26139,"[{'confidence': 0.82211184103139, 'value': 'positive'}]"
26144,"[{'confidence': 0.77673405056406, 'value': 'negative'}]"
26164,
26169,"[{'confidence': 0.82647823645523, 'value': 'negative'}]"
26186,"[{'confidence': 0.61291748504379, 'value': 'neutral'}]"
26202,"[{'confidence': 0.58120834402135, 'value': 'neutral'}]"
26203,"[{'confidence': 0.65939093303268, 'value': 'negative'}]"
26211,"[{'confidence': 0.52712893144667, 'value': 'neutral'}]"
26212,
26236,"[{'confidence': 0.5257760887237, 'value': 'neutral'}]"
26246,"[{'confidence': 0.56475341783949, 'value': 'negative'}]"
26247,
26258,
26260,"[{'confidence': 0.75490551806827, 'value': 'negative'}]"
26267,"[{'confidence': 0.63564049240549, 'value': 'neutral'}]"
26279,
26284,"[{'confidence': 0.60082603859953, 'value': 'negative'}]"
26292,"[{'confidence': 0.59870863232766, 'value': 'neutral'}]"
26295,
26299,"[{'confidence': 0.56548903933763, 'value': 'negative'}]"
26304,
26310,"[{'confidence': 0.80352192712467, 'value': 'negative'}]"
26315,"[{'confidence': 0.65799153207624, 'value': 'negative'}]"
26340,"[{'confidence': 0.67840218600812, 'value': 'negative'}]"
26358,"[{'confidence': 0.54405091934541, 'value': 'negative'}]"
26361,"[{'confidence': 0.7181337466656, 'value': 'negative'}]"
26381,"[{'confidence': 0.5427920976159, 'value': 'negative'}]"
26382,"[{'confidence': 0.70622336588807, 'value': 'negative'}]"
26387,"[{'confidence': 0.84619581956078, 'value': 'negative'}]"
26394,"[{'confidence': 0.61317045331567, 'value': 'negative'}]"
26407,"[{'confidence': 0.602258936203, 'value': 'negative'}]"
26412,"[{'confidence': 0.62132596702019, 'value': 'neutral'}]"
26415,"[{'confidence': 0.73844504838147, 'value': 'negative'}]"
26418,"[{'confidence': 0.63634080466551, 'value': 'neutral'}]"
26421,"[{'confidence': 0.64031177936368, 'value': 'negative'}]"
26431,"[{'confidence': 0.52760612419985, 'value': 'negative'}]"
26432,"[{'confidence': 0.50604212790745, 'value': 'positive'}]"
26444,
26449,
26451,
26452,"[{'confidence': 0.65694499283066, 'value': 'neutral'}]"
26453,
26456,"[{'confidence': 0.50157618984697, 'value': 'negative'}]"
26464,
26466,"[{'confidence': 0.56850959878502, 'value': 'negative'}]"
26487,"[{'confidence': 0.62373769183673, 'value': 'negative'}]"
26492,
26495,"[{'confidence': 0.84144538496545, 'value': 'negative'}]"
26496,
26498,
26502,"[{'confidence': 0.62476026427683, 'value': 'negative'}]"
26506,"[{'confidence': 0.62347668490848, 'value': 'negative'}]"
26513,"[{'confidence': 0.56417489752112, 'value': 'neutral'}]"
26516,"[{'confidence': 0.50758199751526, 'value': 'negative'}]"
26531,
26532,"[{'confidence': 0.51900391424308, 'value': 'positive'}]"
26536,
26537,"[{'confidence': 0.69961619194301, 'value': 'negative'}]"
26551,"[{'confidence': 0.73647063787077, 'value': 'negative'}]"
26556,"[{'confidence': 0.7300966296903, 'value': 'neutral'}]"
26562,"[{'confidence': 0.6898672554877, 'value': 'negative'}]"
26564,"[{'confidence': 0.5404124330303, 'value': 'neutral'}]"
26581,"[{'confidence': 0.53865833202104, 'value': 'neutral'}]"
26585,"[{'confidence': 0.89416289067871, 'value': 'positive'}]"
26591,"[{'confidence': 0.51619327694872, 'value': 'neutral'}]"
26594,"[{'confidence': 0.56090690034466, 'value': 'neutral'}]"
26623,"[{'confidence': 0.51124066611615, 'value': 'negative'}]"
26629,"[{'confidence': 0.56607616143159, 'value': 'negative'}]"
26641,"[{'confidence': 0.62643653366512, 'value': 'negative'}]"
26644,"[{'confidence': 0.63621944386337, 'value': 'negative'}]"
26648,"[{'confidence': 0.50494031809494, 'value': 'negative'}]"
26656,
26663,"[{'confidence': 0.56468825210906, 'value': 'negative'}]"
26687,"[{'confidence': 0.55030202643497, 'value': 'positive'}]"
26694,
26695,"[{'confidence': 0.57321739146531, 'value': 'negative'}]"
26696,"[{'confidence': 0.5745511235346, 'value': 'negative'}]"
26707,"[{'confidence': 0.62713145276633, 'value': 'negative'}]"
26712,"[{'confidence': 0.61949513918866, 'value': 'negative'}]"
26713,"[{'confidence': 0.60243195076467, 'value': 'neutral'}]"
26725,"[{'confidence': 0.59918622755521, 'value': 'neutral'}]"
26726,"[{'confidence': 0.53930579601101, 'value': 'neutral'}]"
26734,
26748,"[{'confidence': 0.50249188046279, 'value': 'negative'}]"
26788,"[{'confidence': 0.60089093348886, 'value': 'negative'}]"
26794,
26798,
26802,"[{'confidence': 0.55732780110274, 'value': 'neutral'}]"
26804,"[{'confidence': 0.60085415169497, 'value': 'neutral'}]"
26808,
26838,
26859,"[{'confidence': 0.84217465235394, 'value': 'negative'}]"
26878,"[{'confidence': 0.58927033667256, 'value': 'positive'}]"
26904,"[{'confidence': 0.63273280974127, 'value': 'neutral'}]"
26918,"[{'confidence': 0.76569943552419, 'value': 'negative'}]"
